"Browser","Market Share Perc. (June 2017 - Mar 2018)"
"Chrome",80.82
"Samsung Internet",8.02
"Android",4.55
"Safari",2.11
"IEMobile",1.72
"Opera",1.62
"Edge",0.54
"Firefox",0.25
"UC Browser",0.11
"Nokia",0.09
"Dolfin",0.05
"BlackBerry",0.04
"Puffin",0.03
"NetFront",0.02
"Phantom",0.01
"Other",0.03
