"Browser","Market Share Perc. (June 2017 - Mar 2018)"
"Chrome",57.47
"Safari",22.4
"Android",16.64
"Opera",1.46
"Firefox",1.01
"Puffin",0.58
"UC Browser",0.14
"IE",0.14
"Yandex Browser",0.04
"Unknown",0.04
"BlackBerry",0.04
"Kindle",0.04
"Other",0.02
